,game1,game2
2225,2501,3678
2227,3144,3684
2228,2989,3687
2229,3486,3690
2230,2939,3691
2231,2444,3696
2233,2852,3699
2234,2673,3702
2241,3302,3715
2248,2568,3727
2253,1759,3733
2256,3739,4362
2257,3760,4458
2258,3767,6024
2259,3768,5208
2260,3787,6083
2261,3790,4833
2262,3809,5377
2263,3810,5135
2264,3824,4457
2265,3833,4004
2266,3852,6012
2267,3853,4914
2268,3858,4025
2269,3861,6666
2270,3863,4962
2271,3877,6288
2272,3886,5081
2273,3905,4464
2274,3908,4856
2275,3927,4542
2276,3935,4524
2277,3960,6244
2278,3961,5976
2279,3963,6063
2281,4006,5114
2282,4007,7120
2283,4010,4872
2284,4016,5082
2285,4019,6915
2287,4050,4337
2288,4055,5154
2289,4056,4320
2290,4057,4357
2291,4069,5934
2292,4078,6180
2293,4080,4578
2294,4093,6598
2295,4100,4281
2296,4113,5347
2297,4116,6218
2298,4118,4405
2299,4119,5978
2300,4124,5070
2301,4125,5102
2302,4128,6511
2303,4160,7129
2304,4162,4533
2305,4165,6183
2306,4171,6386
2307,4172,5774
2308,4180,6318
2309,4182,5415
2310,4190,6136
2311,4206,5225
2312,4217,5290
2313,4245,5729
2314,4249,5964
2315,4252,4461
2316,4260,7203
2317,4269,5156
2318,4270,4905
2319,4280,4635
2321,4296,5958
2322,4309,6282
2324,4330,5404
2326,4339,6333
2327,4340,4761
2328,4341,6241
2329,4348,6967
2330,4349,6786
2331,4350,4987
2334,4382,5068
2335,4384,5069
2336,4386,5930
2337,4394,7117
2338,4398,4988
2340,4428,5974
2341,4429,5376
2342,4435,6237
2343,4442,5675
2344,4445,5027
2348,4462,5107
2350,4472,5641
2351,4489,5938
2352,4517,6025
2353,4518,6471
2354,4520,6806
2356,4525,5587
2357,4530,4938
2359,4538,5646
2361,4557,7326
2362,4560,5963
2363,4571,5408
2365,4579,5133
2366,4590,6117
2367,4595,6254
2368,4612,5595
2369,4628,6182
2371,4658,7511
2372,4664,6316
2373,4670,5084
2374,4679,4875
2375,4759,6841
2377,4775,5710
2378,4777,5416
2379,4782,5079
2380,4813,6336
2382,4843,5642
2386,4878,5221
2387,4886,5483
2388,4892,6086
2389,4893,6927
2390,4894,7243
2391,4896,7486
2392,4897,6601
2393,4898,7174
2394,4901,6115
2395,4902,6033
